Dátum,Időjárás,Hőmérséklet (C),Eső valószínűség (%)
2025-08-12,esős,15.9,31
2025-08-13,esős,11.1,78
2025-08-14,esős,7.3,13
2025-08-15,napos,14.0,31
2025-08-16,ködös,19.3,79
2025-08-17,ködös,2.3,59
2025-08-18,szeles,10.6,89
2025-08-19,semillen,0.5,64
2025-08-20,szeles,18.9,45
2025-08-21,semillen,13.5,51
2025-08-22,ködös,15.9,25
2025-08-23,szeles,10.7,89
2025-08-24,napos,18.3,53
2025-08-25,napos,8.9,16
2025-08-26,szeles,10.8,65
2025-08-27,napos,20.0,85
2025-08-28,ködös,7.4,100
2025-08-29,semillen,2.1,52
2025-08-30,ködös,12.7,40
2025-08-31,esős,1.3,77
2025-09-01,semillen,9.7,62
2025-09-02,szeles,15.8,68
2025-09-03,szeles,9.1,72
2025-09-04,esős,11.1,14
2025-09-05,esős,13.7,5
2025-09-06,szeles,0.8,33
2025-09-07,napos,11.7,94
2025-09-08,ködös,14.4,53
2025-09-09,ködös,11.4,50
2025-09-10,esős,11.5,35
2025-09-11,semillen,18.1,69
2025-09-12,szeles,11.2,18
2025-09-13,napos,5.1,54
2025-09-14,esős,11.6,8
2025-09-15,ködös,6.7,54
2025-09-16,szeles,17.7,47
2025-09-17,ködös,5.1,28
2025-09-18,semillen,5.7,14
2025-09-19,ködös,13.4,51
2025-09-20,szeles,3.1,35
2025-09-21,napos,7.8,58
2025-09-22,szeles,17.6,73
2025-09-23,semillen,14.7,22
2025-09-24,szeles,10.5,62
2025-09-25,esős,18.8,4
2025-09-26,szeles,6.0,0
2025-09-27,ködös,17.6,78
2025-09-28,esős,18.4,88
2025-09-29,semillen,6.1,36
2025-09-30,esős,18.1,80
2025-10-01,napos,12.2,71
2025-10-02,szeles,7.0,84
2025-10-03,szeles,6.5,14
2025-10-04,napos,15.5,95
2025-10-05,esős,12.6,90
2025-10-06,semillen,16.1,5
2025-10-07,szeles,15.0,47
2025-10-08,szeles,11.5,75
2025-10-09,napos,3.2,23
2025-10-10,semillen,9.1,51
2025-10-11,semillen,16.4,73
2025-10-12,semillen,15.6,61
2025-10-13,napos,14.0,83
2025-10-14,ködös,9.7,62
2025-10-15,semillen,15.9,33
2025-10-16,napos,9.3,67
2025-10-17,semillen,7.3,68
2025-10-18,napos,10.7,9
2025-10-19,semillen,6.0,40
2025-10-20,semillen,16.0,81
2025-10-21,semillen,1.7,67
2025-10-22,ködös,10.7,84
2025-10-23,szeles,20.0,63
2025-10-24,ködös,12.6,94
2025-10-25,esős,10.5,19
2025-10-26,ködös,11.0,88
2025-10-27,napos,3.2,29
2025-10-28,semillen,9.7,42
2025-10-29,napos,6.0,23
2025-10-30,ködös,5.8,98
2025-10-31,esős,14.1,62
2025-11-01,esős,16.1,37
2025-11-02,szeles,8.7,7
2025-11-03,napos,12.3,9
2025-11-04,semillen,18.0,0
2025-11-05,ködös,4.5,100
2025-11-06,napos,11.2,97
2025-11-07,szeles,2.4,67
2025-11-08,szeles,19.3,99
2025-11-09,napos,16.6,87
2025-11-10,semillen,18.2,15
2025-11-11,esős,13.2,93
2025-11-12,szeles,10.4,45
2025-11-13,esős,7.8,98
2025-11-14,semillen,12.7,18
2025-11-15,semillen,10.7,99
2025-11-16,szeles,12.2,89
2025-11-17,semillen,5.3,84
2025-11-18,napos,16.2,36
2025-11-19,semillen,19.0,56
2025-11-20,esős,10.2,57
2025-11-21,szeles,20.0,87
2025-11-22,esős,13.9,83
2025-11-23,semillen,10.9,71
2025-11-24,semillen,0.9,49
2025-11-25,ködös,15.1,64
2025-11-26,esős,4.8,89
2025-11-27,szeles,0.4,0
2025-11-28,esős,19.9,74
2025-11-29,semillen,6.7,54
2025-11-30,napos,10.1,53
2025-12-01,szeles,14.0,58
2025-12-02,esős,10.2,52
2025-12-03,szeles,5.7,99
2025-12-04,ködös,7.9,62
2025-12-05,ködös,4.4,7
2025-12-06,semillen,3.0,60
2025-12-07,semillen,8.7,87
2025-12-08,ködös,11.1,8
2025-12-09,ködös,19.1,64
2025-12-10,napos,0.0,4
2025-12-11,semillen,2.3,6
2025-12-12,szeles,15.3,46
